<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20180518;100608;2325.350000000;820123
IMOEX;0;20180518;100609;2325.410000000;2754335
IMOEX;0;20180518;100610;2325.390000000;423094
IMOEX;0;20180518;100611;2325.430000000;1196401
IMOEX;0;20180518;100612;2325.430000000;2260
IMOEX;0;20180518;100613;2325.370000000;873442
IMOEX;0;20180518;100614;2325.490000000;1561096
IMOEX;0;20180518;100615;2325.600000000;651365
IMOEX;0;20180518;100616;2325.610000000;63355
IMOEX;0;20180518;100617;2325.580000000;4776201
IMOEX;0;20180518;100618;2325.080000000;5145824
IMOEX;0;20180518;100619;2325.180000000;3757231
IMOEX;0;20180518;100620;2324.360000000;7554559
IMOEX;0;20180518;100621;2324.210000000;2689022
IMOEX;0;20180518;100622;2324.290000000;743032
IMOEX;0;20180518;100623;2324.220000000;643872
IMOEX;0;20180518;100624;2324.210000000;1133195
IMOEX;0;20180518;100625;2324.430000000;827031
IMOEX;0;20180518;100626;2324.440000000;1042692
IMOEX;0;20180518;100627;2324.410000000;960372
IMOEX;0;20180518;100628;2324.650000000;572244
IMOEX;0;20180518;100629;2324.680000000;5088051
IMOEX;0;20180518;100630;2324.580000000;1967539
IMOEX;0;20180518;100631;2324.820000000;2535304
IMOEX;0;20180518;100632;2325.070000000;1451102
IMOEX;0;20180518;100633;2325.200000000;641419
IMOEX;0;20180518;100634;2325.050000000;2983740
IMOEX;0;20180518;100635;2325.160000000;358494
IMOEX;0;20180518;100636;2325.040000000;1528741
IMOEX;0;20180518;100637;2325.170000000;4869341
IMOEX;0;20180518;100638;2325.170000000;4759649
IMOEX;0;20180518;100639;2325.150000000;1640844
IMOEX;0;20180518;100640;2325.130000000;355578
IMOEX;0;20180518;100641;2325.070000000;5504615
IMOEX;0;20180518;100642;2325.070000000;3271119
IMOEX;0;20180518;100643;2325.510000000;2275325
IMOEX;0;20180518;100644;2325.260000000;6300258
IMOEX;0;20180518;100645;2325.320000000;766447
IMOEX;0;20180518;100646;2325.290000000;2328812
IMOEX;0;20180518;100647;2325.320000000;1560044
IMOEX;0;20180518;100648;2325.340000000;764784
IMOEX;0;20180518;100649;2325.350000000;391685
IMOEX;0;20180518;100650;2325.440000000;316396
IMOEX;0;20180518;100651;2325.400000000;1624290
IMOEX;0;20180518;100652;2325.340000000;247197
IMOEX;0;20180518;100653;2325.340000000;28685
IMOEX;0;20180518;100654;2325.750000000;7752540
IMOEX;0;20180518;100655;2326.070000000;2415281
IMOEX;0;20180518;100656;2325.170000000;4532338
IMOEX;0;20180518;100657;2324.980000000;2726590
IMOEX;0;20180518;100658;2325.050000000;410949
IMOEX;0;20180518;100659;2325.000000000;3533426
IMOEX;0;20180518;100700;2325.070000000;591617
IMOEX;0;20180518;100701;2325.630000000;3646245
IMOEX;0;20180518;100702;2325.800000000;4085875
IMOEX;0;20180518;100703;2324.670000000;7612372
IMOEX;0;20180518;100704;2325.140000000;6993715
IMOEX;0;20180518;100705;2325.030000000;586494
IMOEX;0;20180518;100706;2325.180000000;457512
IMOEX;0;20180518;100707;2325.220000000;1032935
IMOEX;0;20180518;100708;2325.210000000;133551
IMOEX;0;20180518;100709;2325.200000000;245069
IMOEX;0;20180518;100710;2325.330000000;3482298
IMOEX;0;20180518;100711;2325.310000000;8907751
IMOEX;0;20180518;100712;2325.270000000;725980
IMOEX;0;20180518;100713;2325.200000000;519247
IMOEX;0;20180518;100714;2325.200000000;1996359
IMOEX;0;20180518;100715;2325.180000000;144309
IMOEX;0;20180518;100716;2325.320000000;1792418
IMOEX;0;20180518;100717;2325.330000000;821498
IMOEX;0;20180518;100718;2325.290000000;768283
IMOEX;0;20180518;100719;2325.460000000;288341
IMOEX;0;20180518;100720;2324.800000000;7293067
IMOEX;0;20180518;100721;2324.880000000;306589
IMOEX;0;20180518;100722;2324.880000000;69439
IMOEX;0;20180518;100723;2324.890000000;1546034
IMOEX;0;20180518;100724;2324.940000000;451793
IMOEX;0;20180518;100725;2324.740000000;1597879
IMOEX;0;20180518;100726;2324.740000000;1230617
IMOEX;0;20180518;100727;2324.590000000;4589364
IMOEX;0;20180518;100728;2325.030000000;5864156
IMOEX;0;20180518;100729;2325.050000000;642721
IMOEX;0;20180518;100730;2325.120000000;585980
IMOEX;0;20180518;100731;2325.140000000;202505
IMOEX;0;20180518;100732;2325.250000000;539675
IMOEX;0;20180518;100733;2325.240000000;1617923
IMOEX;0;20180518;100734;2325.140000000;1406565
IMOEX;0;20180518;100735;2325.270000000;31676
IMOEX;0;20180518;100736;2324.790000000;3847051
IMOEX;0;20180518;100737;2324.830000000;369346
IMOEX;0;20180518;100738;2325.090000000;3645952
IMOEX;0;20180518;100739;2325.080000000;450567
IMOEX;0;20180518;100740;2325.090000000;1528477
IMOEX;0;20180518;100741;2325.200000000;12890571
IMOEX;0;20180518;100742;2325.300000000;4789910
IMOEX;0;20180518;100743;2325.240000000;1064905
IMOEX;0;20180518;100744;2325.370000000;2553313
IMOEX;0;20180518;100745;2325.360000000;935405
IMOEX;0;20180518;100746;2325.480000000;506645
IMOEX;0;20180518;100747;2325.450000000;54659
IMOEX;0;20180518;100748;2325.570000000;1922982
IMOEX;0;20180518;100749;2325.580000000;622483
IMOEX;0;20180518;100750;2325.490000000;235246
IMOEX;0;20180518;100751;2326.240000000;4577574
IMOEX;0;20180518;100752;2326.300000000;502794
IMOEX;0;20180518;100753;2326.320000000;576074
IMOEX;0;20180518;100754;2326.420000000;249512
IMOEX;0;20180518;100755;2326.350000000;290989
IMOEX;0;20180518;100756;2326.120000000;525192
IMOEX;0;20180518;100757;2326.250000000;200085
IMOEX;0;20180518;100758;2326.280000000;331298
IMOEX;0;20180518;100759;2325.930000000;2356205
IMOEX;0;20180518;100800;2326.090000000;5024188
IMOEX;0;20180518;100801;2326.090000000;2424840
IMOEX;0;20180518;100802;2326.090000000;2046970
IMOEX;0;20180518;100803;2326.140000000;397173
IMOEX;0;20180518;100804;2326.060000000;6110977
IMOEX;0;20180518;100805;2325.560000000;11711967
IMOEX;0;20180518;100806;2325.590000000;2309953
IMOEX;0;20180518;100807;2325.240000000;6522185
IMOEX;0;20180518;100808;2324.550000000;12499896
IMOEX;0;20180518;100809;2324.390000000;7134484
IMOEX;0;20180518;100810;2324.480000000;4104137
IMOEX;0;20180518;100811;2324.500000000;413509
IMOEX;0;20180518;100812;2324.440000000;446946
IMOEX;0;20180518;100813;2324.470000000;888951
IMOEX;0;20180518;100814;2324.540000000;2597037
IMOEX;0;20180518;100815;2324.580000000;765903
IMOEX;0;20180518;100816;2324.820000000;2700882
IMOEX;0;20180518;100817;2324.860000000;2778232
IMOEX;0;20180518;100818;2324.960000000;1313093
IMOEX;0;20180518;100819;2325.010000000;756812
IMOEX;0;20180518;100820;2325.840000000;8024607
IMOEX;0;20180518;100821;2325.780000000;2182653
IMOEX;0;20180518;100822;2325.760000000;353537
IMOEX;0;20180518;100823;2325.780000000;6601067
IMOEX;0;20180518;100824;2325.710000000;3513143
IMOEX;0;20180518;100825;2325.710000000;683907
IMOEX;0;20180518;100826;2325.670000000;1429596
IMOEX;0;20180518;100827;2325.720000000;315587
IMOEX;0;20180518;100828;2325.670000000;2201201
IMOEX;0;20180518;100829;2325.700000000;1530626
IMOEX;0;20180518;100830;2325.220000000;2126981
IMOEX;0;20180518;100831;2325.150000000;49688
IMOEX;0;20180518;100832;2325.060000000;1319688
IMOEX;0;20180518;100833;2325.110000000;286430
IMOEX;0;20180518;100834;2325.120000000;434701
IMOEX;0;20180518;100835;2325.160000000;1415526
IMOEX;0;20180518;100836;2325.140000000;740063
IMOEX;0;20180518;100837;2324.790000000;3473050
IMOEX;0;20180518;100838;2323.880000000;26522093
IMOEX;0;20180518;100839;2323.860000000;5008711
IMOEX;0;20180518;100840;2324.210000000;9361370
IMOEX;0;20180518;100841;2324.220000000;926292
IMOEX;0;20180518;100842;2324.220000000;9081135
IMOEX;0;20180518;100843;2325.140000000;13695306
IMOEX;0;20180518;100844;2325.160000000;656474
IMOEX;0;20180518;100845;2325.270000000;3964305
IMOEX;0;20180518;100846;2325.270000000;1550313
IMOEX;0;20180518;100847;2325.360000000;2089584
IMOEX;0;20180518;100848;2325.350000000;284551
IMOEX;0;20180518;100849;2325.390000000;598354
IMOEX;0;20180518;100850;2325.760000000;3663855
IMOEX;0;20180518;100851;2325.720000000;236964
IMOEX;0;20180518;100852;2325.800000000;2389628
IMOEX;0;20180518;100853;2325.870000000;152444
IMOEX;0;20180518;100854;2325.960000000;487845
IMOEX;0;20180518;100855;2325.960000000;1641255
IMOEX;0;20180518;100856;2326.010000000;105633
IMOEX;0;20180518;100857;2325.990000000;452917
IMOEX;0;20180518;100858;2326.030000000;595911
